# step  total_KE
0  2.384644e+16
10  2.384644e+16
20  2.384644e+16
30  2.384644e+16
40  2.384644e+16
50  2.384644e+16
60  2.384644e+16
70  2.384644e+16
80  2.384644e+16
90  2.384644e+16
100  2.384644e+16
110  2.384644e+16
120  2.384644e+16
130  2.384644e+16
140  2.384644e+16
150  2.384644e+16
160  2.384644e+16
170  2.384644e+16
180  2.384644e+16
190  2.384644e+16
200  2.384644e+16
210  2.384644e+16
220  2.384644e+16
230  2.384644e+16
240  2.384644e+16
250  2.384644e+16
260  2.384644e+16
270  2.384644e+16
280  2.384644e+16
290  2.384644e+16
