px=783088.367893, py=798430.400920, pz=911640.923326
px=477392.411683, py=628869.158046, pz=364784.986731
px=141598.568132, py=606959.178601, pz=16303.450379
px=129786.331385, py=108807.843210, pz=998917.919411
px=637550.619633, py=524279.872118, pz=493580.764506
px=400223.144204, py=891523.613543, pz=283316.102990
px=525991.722293, py=86058.889584, pz=192210.412696
px=457701.866385, py=63099.229420, pz=238281.080463
px=375204.901365, py=760241.449590, pz=512525.631354
px=930802.872168, py=720946.532996, pz=284289.100471
px=440098.429722, py=880063.724785, pz=829196.734655
px=956462.274544, py=588633.642115, pz=657301.705883
px=684208.841026, py=910967.423171, pz=482490.032813
px=641071.995808, py=431951.958555, pz=619588.362266
px=187530.399127, py=276228.605665, pz=556442.258644
px=495443.461954, py=760469.467775, pz=984740.648935
px=294154.864389, py=232255.739783, pz=584484.976980
px=164104.793616, py=745059.463360, pz=74529.270900
px=797794.747568, py=732648.479384, pz=656559.684394
px=520201.914054, py=78230.973561, pz=69908.895431
px=51935.342665, py=157809.449989, pz=999979.825360
px=870535.389818, py=72329.015038, pz=4158.370978
px=913018.071562, py=819687.749689, pz=359091.303340
px=530807.601991, py=757287.028796, pz=304295.882818
px=35424.806288, py=747799.121309, pz=833233.519607
px=903357.278780, py=983582.541442, pz=666876.965576
px=649697.780113, py=248043.644038, pz=629471.576896
px=74161.739527, py=633065.969384, pz=223658.891238
px=719262.308489, py=113283.865142, pz=471478.223303
px=434509.935215, py=3234.759881, pz=344936.844322
px=481927.829063, py=304953.851853, pz=712075.547423
px=673926.602885, py=637634.867249, pz=347113.673308
px=740432.883988, py=202212.283371, pz=920902.720107
px=260490.274761, py=877371.266283, pz=686116.682114
px=666547.808931, py=288773.183783, pz=775756.382379
px=827382.226098, py=331480.346940, pz=188203.349190
px=121144.693086, py=685783.364025, pz=383832.263604
px=793652.951825, py=548040.665651, pz=297289.219185
px=162755.039796, py=273908.066309, pz=864573.803628
px=180415.824667, py=684172.627804, pz=727542.931794
px=178201.940196, py=221959.704788, pz=498519.101306
px=908478.750469, py=622089.191940, pz=836817.745724
px=608872.495966, py=258899.608925, pz=151229.944830
px=331386.851264, py=91148.503711, pz=427321.101785
px=487423.247293, py=157270.721173, pz=883024.839184
px=829929.003892, py=394386.726455, pz=244325.930109
px=897546.344329, py=136076.083992, pz=410786.573674
px=865525.649778, py=721003.443617, pz=49164.047492
px=865171.388529, py=93916.588923, pz=99559.871994
px=51510.579637, py=53423.682030, pz=457710.456626
px=578627.679775, py=529891.962913, pz=595043.193210
px=609723.979125, py=525739.194350, pz=618922.488882
px=923715.828011, py=169651.072068, pz=481726.444770
px=344242.878714, py=814898.090744, pz=659142.240640
px=308154.592785, py=221003.251585, pz=198020.353987
px=200349.695199, py=401180.949415, pz=315653.731938
px=555391.003603, py=14577.251897, pz=380213.245400
px=552313.970252, py=919583.674377, pz=685977.623900
px=532955.934336, py=843901.377524, pz=618439.598802
px=801884.009200, py=677801.219568, pz=152876.130470
px=700289.189971, py=567823.459606, pz=1123.084037
px=181163.191685, py=341352.590202, pz=667331.967086
px=157139.368172, py=503459.991764, pz=828945.928229
px=868919.635429, py=547388.951531, pz=738956.258445
px=494404.932269, py=552566.026227, pz=939120.718125
px=935843.274630, py=324539.549242, pz=874303.231610
px=262778.616809, py=604375.682621, pz=470563.155072
px=412479.927659, py=611974.987578, pz=596889.521412
px=700903.489838, py=518141.614500, pz=832600.664836
px=814342.796229, py=384651.001122, pz=637649.120669
px=17459.558141, py=717590.399687, pz=573714.911820
px=58723.628984, py=74256.913364, pz=640757.120744
px=737934.631607, py=462852.147486, pz=438561.901102
px=333565.671729, py=536741.624755, pz=219133.527747
px=183766.172074, py=458038.453623, pz=780213.715515
px=331843.020362, py=402375.972592, pz=560775.814165
px=653874.444314, py=916517.166166, pz=210685.551847
px=646514.681158, py=592681.558637, pz=676547.806861
px=18914.802753, py=343838.955362, pz=9076.051453
px=173065.876359, py=447978.436421, pz=487720.480987
px=882197.912218, py=366024.040169, pz=899420.017281
px=865674.606803, py=623185.064817, pz=718656.958704
px=626116.153917, py=176241.492822, pz=126663.114483
px=461839.173637, py=648539.780929, pz=915207.139949
px=436584.667960, py=293175.102635, pz=244063.188166
px=813900.510491, py=753370.500981, pz=356379.695901
px=699781.630560, py=327611.255161, pz=889330.070665
px=698704.151518, py=681917.440512, pz=904176.072858
px=591101.260872, py=53436.305854, pz=101449.501286
px=889548.544545, py=945491.866144, pz=56019.186919
px=584583.583223, py=476350.168665, pz=815541.661588
px=264164.403125, py=633582.814443, pz=538168.369261
px=400982.792782, py=307164.710397, pz=679894.645683
px=214523.681604, py=759195.994175, pz=258112.542590
px=321477.809725, py=667950.981054, pz=526822.480580
px=889807.037050, py=611409.409934, pz=531029.818701
px=43914.737744, py=23860.889391, pz=5078.234892
px=467466.036319, py=78261.333265, pz=190977.072406
px=711352.373382, py=611238.744114, pz=92854.133482
px=777499.584097, py=6982.482559, pz=578611.013507
px=946423.146602, py=101482.405984, pz=274889.739818
px=173294.863753, py=937709.311246, pz=760857.843000
px=456507.850673, py=434394.756064, pz=654018.393549
px=136958.539951, py=659871.835182, pz=114454.995303
px=312336.572837, py=943208.038240, pz=768198.091378
px=452644.641462, py=160155.348874, pz=308245.270557
px=84185.649202, py=780246.815082, pz=785928.123975
px=527065.780831, py=177130.089061, pz=927857.463212
px=539408.800340, py=406615.204079, pz=822414.850635
px=381882.705865, py=97492.072564, pz=807955.520774
px=714425.757390, py=635197.592280, pz=516134.194330
px=755934.377617, py=599697.506922, pz=139002.191987
px=184019.509190, py=666704.313413, pz=312982.438425
px=199726.313456, py=287730.740455, pz=657636.537542
px=142118.598127, py=294602.088854, pz=560999.070958
px=832541.622036, py=812989.646797, pz=773294.388569
px=284283.165224, py=76749.398850, pz=879998.505528
px=647519.466112, py=100685.749896, pz=325704.232373
px=398769.216222, py=366793.660887, pz=394230.489941
px=881222.591566, py=674840.737238, pz=460644.288665
px=301165.648404, py=126078.511090, pz=749432.590328
px=293172.552576, py=184573.473737, pz=2830.851715
px=175414.102086, py=44725.152152, pz=959710.410963
px=536112.496863, py=667905.564824, pz=465832.232459
px=837975.749109, py=154707.431413, pz=673641.750473
px=717079.466039, py=460060.539962, pz=541131.094991
px=236355.909370, py=653080.295432, pz=219151.961799
px=94323.802782, py=809346.927688, pz=879001.638303
px=438988.911253, py=853774.829969, pz=683087.901169
px=600403.129836, py=967681.027471, pz=109235.355442
px=455690.535371, py=532341.157418, pz=744996.701293
px=897873.324219, py=899508.781084, pz=39713.815311
px=73636.724745, py=461485.307346, pz=408977.317517
px=803223.277469, py=672553.190739, pz=71320.138978
px=916845.492469, py=103239.458852, pz=900891.556402
px=820912.480284, py=968381.901767, pz=508791.670465
px=748669.383994, py=36499.230428, pz=721813.068768
px=957699.095281, py=624048.448172, pz=637804.820957
px=99282.037398, py=264618.048800, pz=801018.163538
px=698093.151757, py=889498.742806, pz=11681.969475
px=675688.112823, py=870040.538852, pz=275884.485585
px=452676.242958, py=860779.172084, pz=545783.064592
px=174132.605788, py=187695.465890, pz=247166.680782
px=517387.496396, py=378790.552000, pz=501831.816422
px=520114.825350, py=895347.005808, pz=241412.140426
px=325170.664089, py=334009.871523, pz=637895.070207
px=212262.837980, py=385272.884450, pz=777816.389017
px=523740.524003, py=246991.238858, pz=224644.450738
px=739458.976782, py=476849.646466, pz=92496.619895
px=214738.298811, py=277999.891589, pz=448419.218209
px=971813.305842, py=653756.151579, pz=644504.656461
px=636650.317751, py=740168.529530, pz=864181.605948
px=576473.758455, py=43382.815090, pz=787188.255580
px=705287.968555, py=232565.918639, pz=597107.269445
px=126808.183577, py=167239.990833, pz=775889.590240
px=31607.199029, py=112152.560198, pz=727270.231513
px=721534.242263, py=726835.433320, pz=305980.328038
px=322687.947106, py=381602.295748, pz=867311.711546
px=557282.037214, py=708603.524222, pz=906951.818472
px=267080.332922, py=35040.726882, pz=647542.092745
px=314039.704269, py=573117.764245, pz=80386.880951
px=246469.203463, py=194946.405408, pz=127737.027906
px=769069.486106, py=989527.861480, pz=256486.595956
px=599282.817728, py=448313.165320, pz=890407.972231
px=730668.172226, py=827608.248571, pz=817735.355093
px=340321.454366, py=507612.733602, pz=40082.890964
px=112201.795451, py=324096.990654, pz=106274.861882
px=355364.100239, py=558641.369005, pz=800121.871469
px=374966.488134, py=558194.032149, pz=840792.915082
px=728286.354376, py=46508.895593, pz=969195.442094
px=360907.827914, py=739788.093805, pz=538047.055136
px=764916.821388, py=537020.681524, pz=393089.665006
px=691737.374667, py=768801.464056, pz=526822.054091
px=579761.954314, py=408412.434733, pz=14151.490002
px=387457.815718, py=568376.464959, pz=55413.010250
px=329337.501827, py=429609.637939, pz=20712.338031
px=717507.351063, py=399923.887145, pz=650211.811367
px=497846.238277, py=438915.366495, pz=261878.684529
px=860579.558848, py=804633.620896, pz=508364.748098
px=974489.359430, py=195532.553410, pz=340019.366399
px=613040.087073, py=442784.506396, pz=568753.228305
px=432447.471283, py=321044.618122, pz=973139.058965
px=527008.290497, py=501470.211934, pz=109083.747504
px=479451.516293, py=390286.041585, pz=558516.632754
px=793868.834174, py=54208.976956, pz=762674.361517
px=142889.913223, py=329300.752219, pz=999236.112750
