px=690627.298383, py=422483.276441, pz=206265.257545
px=364986.873343, py=765370.968505, pz=317858.648361
px=564644.555374, py=743262.800287, pz=981750.443678
px=728539.471635, py=628866.300414, pz=796122.146358
px=252084.571008, py=119946.866724, pz=215528.540760
px=282563.716506, py=231428.120652, pz=484284.200186
px=309229.926261, py=922019.246167, pz=775592.077608
px=978305.140655, py=114988.045354, pz=752938.389115
px=786563.865481, py=434013.946578, pz=85314.789762
px=230303.383168, py=602978.541694, pz=623075.623851
px=485376.672511, py=554754.964422, pz=241804.229056
px=675645.173400, py=848227.441196, pz=135597.569828
px=788093.921753, py=902211.214007, pz=71565.972731
px=793247.856396, py=596144.651736, pz=353805.716985
px=687720.568691, py=682177.347983, pz=570938.877292
px=514462.370569, py=610040.888963, pz=538731.162748
px=257855.801467, py=402327.088696, pz=491526.403164
px=60753.082319, py=644169.854662, pz=348048.784333
px=470612.251712, py=436076.789203, pz=56797.400970
px=141282.609531, py=170703.540381, pz=646115.899673
px=379211.104800, py=349174.663661, pz=943155.207303
px=877696.199641, py=705702.552337, pz=94794.337886
px=396012.039462, py=176515.086693, pz=678213.435512
px=480886.353990, py=761235.747323, pz=954451.890459
px=161281.815090, py=734611.618452, pz=89143.376894
px=152512.697695, py=944379.425171, pz=500692.821172
px=796922.593588, py=289627.297502, pz=798663.472930
px=675026.068371, py=308186.708102, pz=87955.946469
px=614014.976057, py=619628.077852, pz=256631.584876
px=50619.097340, py=928703.924198, pz=865598.075126
px=766636.234158, py=53941.961066, pz=850736.426003
px=512666.951277, py=535124.756837, pz=55921.182285
px=206046.960629, py=171178.070774, pz=610713.030460
px=967441.057676, py=357050.180337, pz=282961.613517
px=592169.062248, py=713378.939929, pz=967164.696888
px=949471.263636, py=258590.876656, pz=63503.946128
px=149225.502795, py=3291.499980, pz=323544.904834
px=172038.190383, py=37631.699539, pz=526055.180377
px=102077.634704, py=573993.355889, pz=727942.207792
px=189203.779291, py=513974.899248, pz=301843.505340
px=697706.475308, py=408809.165019, pz=67894.079804
px=860182.865822, py=275285.980746, pz=401951.672826
px=582770.688176, py=332041.738693, pz=786002.128022
px=750460.980861, py=810789.183926, pz=486080.960272
px=980157.385477, py=951635.226934, pz=942662.743328
px=967176.524446, py=1779.599286, pz=70453.926512
px=6598.196111, py=183247.638213, pz=164461.171548
px=484209.034062, py=207220.219253, pz=412701.013294
px=248094.387367, py=135024.571668, pz=962709.386657
px=564319.911939, py=727143.966134, pz=425275.840244
px=5765.988177, py=332681.635277, pz=677560.458026
px=605916.936258, py=8421.422457, pz=479734.713249
px=807108.112787, py=105960.589211, pz=575274.750824
px=959121.757042, py=853414.709147, pz=807710.657780
px=308625.756789, py=446707.259209, pz=107211.755758
px=711340.587835, py=284782.475380, pz=835829.289371
px=85038.081131, py=144488.892249, pz=398024.358376
px=679584.936424, py=794078.455503, pz=696433.621732
px=912284.682120, py=144448.799504, pz=393382.576472
px=483209.813989, py=44872.860182, pz=574948.723433
px=288654.757104, py=602098.319088, pz=862524.416683
px=642977.669447, py=697163.503136, pz=463394.478323
px=645077.321575, py=885045.157676, pz=832741.266504
px=86666.697960, py=626138.562139, pz=6791.141693
px=812966.421488, py=82145.900435, pz=724087.624841
px=421994.009381, py=812508.929430, pz=987030.031216
px=363760.770105, py=492547.810109, pz=450693.059069
px=128028.459917, py=20748.719744, pz=731634.395904
px=33398.780087, py=681387.696329, pz=285847.212416
px=447483.592494, py=525500.710430, pz=412964.148315
px=565315.502486, py=169574.876613, pz=815229.360278
px=849932.658071, py=452319.892124, pz=697817.121694
px=336517.889971, py=412005.937653, pz=401412.447239
px=465386.836884, py=983916.453738, pz=255108.237665
px=143561.931819, py=652819.613452, pz=721685.798987
px=894694.187323, py=312331.063142, pz=413524.691001
px=951698.353891, py=136664.959584, pz=46716.239305
px=601597.998938, py=748255.386413, pz=11554.083601
px=501966.950220, py=2019.592663, pz=680822.079647
px=607664.084242, py=729471.402867, pz=637378.035222
px=509304.507623, py=925808.726622, pz=219562.128072
px=460971.662760, py=139357.601113, pz=803387.416288
px=85743.803092, py=729854.557927, pz=474453.390113
px=519884.505308, py=506629.802305, pz=207994.003825
px=12918.218238, py=229500.625955, pz=974430.452095
px=241598.571189, py=504898.178040, pz=586415.670365
px=365315.706106, py=195026.787751, pz=204510.882982
px=580389.452834, py=231390.952678, pz=294377.720853
px=533813.845154, py=822687.113242, pz=887814.152577
px=94230.091911, py=465644.983814, pz=396637.163578
px=312234.348971, py=561739.555390, pz=856944.124146
px=111739.025212, py=97374.356456, pz=675564.461925
px=346509.236317, py=649462.284129, pz=411545.168265
px=756428.465984, py=834633.137254, pz=15883.771221
px=934848.999009, py=180914.561608, pz=561756.287069
px=462130.279124, py=461837.325606, pz=603234.129308
px=14357.545458, py=210890.443853, pz=603619.004626
px=876255.115551, py=602065.805510, pz=115647.990925
px=620531.989995, py=653957.149001, pz=480399.453538
px=728506.643284, py=458046.413259, pz=344678.206033
px=354916.925008, py=649969.782033, pz=90453.963956
px=278702.804215, py=230349.234440, pz=395969.689915
px=142140.700850, py=644331.755960, pz=972300.276952
px=285159.974623, py=986395.329806, pz=353690.809345
px=50018.369259, py=35854.833194, pz=341940.587938
px=686988.065893, py=705440.696329, pz=245085.689464
px=53356.747846, py=619771.658493, pz=496631.721548
px=124767.175599, py=957570.348209, pz=840155.844154
px=821408.547053, py=82498.311868, pz=149254.434748
px=164179.137491, py=770186.704989, pz=583096.937932
px=850342.977962, py=190216.056243, pz=196933.266201
px=758390.152813, py=869461.237388, pz=708547.065122
px=531600.100915, py=672910.828157, pz=10356.877723
px=305657.598240, py=879985.391377, pz=653634.792481
px=537438.183883, py=914371.006036, pz=258166.887556
px=156946.518184, py=27928.229599, pz=589613.052174
px=786199.274203, py=298781.846384, pz=79396.364260
px=256283.209548, py=867321.743279, pz=624776.632997
px=256608.378865, py=585948.497696, pz=618015.140719
px=965311.534784, py=35023.206077, pz=842342.766573
px=429556.582090, py=530400.038176, pz=852360.469851
px=933382.164392, py=28500.293065, pz=529833.986755
px=443565.094590, py=517957.230840, pz=599136.235205
px=79572.595646, py=189725.936796, pz=863026.624722
px=844437.336353, py=14769.643943, pz=13879.576318
px=446096.529912, py=443948.245814, pz=162171.264765
px=580073.585729, py=43310.477168, pz=62141.811310
px=599243.918330, py=319148.817776, pz=395319.709675
px=572491.528177, py=683697.422202, pz=228769.645935
px=586841.150803, py=829727.087449, pz=364231.384770
px=851709.103898, py=695693.743513, pz=507370.150294
px=282638.161595, py=502331.142223, pz=624217.234669
px=977745.502283, py=622237.377181, pz=285889.147869
px=783173.058002, py=990690.735065, pz=240394.427413
px=569653.103126, py=654333.679168, pz=590388.435869
px=199744.011106, py=3571.706211, pz=816286.463062
px=831998.571488, py=178254.740073, pz=354443.450389
px=971600.535752, py=189506.714035, pz=589913.268968
px=391217.476544, py=11918.799126, pz=308001.004946
px=690920.183160, py=725808.147647, pz=168879.716675
px=239509.048953, py=618368.709824, pz=364717.767099
px=503345.768226, py=876012.797173, pz=341599.943821
px=775036.106663, py=507936.024060, pz=13183.571101
px=648504.403328, py=562323.170450, pz=874755.654566
px=757062.624287, py=716383.425828, pz=234309.287856
px=396428.613233, py=268844.125350, pz=100397.090120
px=808271.133761, py=26654.850915, pz=291388.314224
px=247161.938453, py=764555.974447, pz=181946.255674
px=250008.340692, py=968139.233905, pz=16686.648007
px=212777.954888, py=914216.159532, pz=894333.870985
px=934457.001716, py=343161.241560, pz=26427.037775
px=680774.331641, py=663613.874838, pz=145908.365789
px=847884.545749, py=261047.381302, pz=727490.951577
px=455549.180064, py=115793.130374, pz=662517.553971
px=57464.723340, py=719385.889598, pz=841877.391201
px=987171.885199, py=506535.047626, pz=900419.799450
px=405846.914516, py=359174.756885, pz=570633.501401
px=907884.891151, py=691114.845982, pz=26174.407243
px=438526.149127, py=731449.846418, pz=548356.784925
px=415531.513930, py=290964.775191, pz=226629.416890
px=217478.979545, py=606630.280957, pz=452446.349210
px=172171.487204, py=500206.123060, pz=238118.105227
px=859149.407317, py=588839.651919, pz=732021.928571
px=413534.679968, py=183006.423440, pz=715186.506484
px=357826.566992, py=143370.560971, pz=376785.383521
px=351036.222882, py=301301.647771, pz=374185.505298
px=3521.024207, py=960299.066696, pz=202328.880086
px=341721.310065, py=129925.281525, pz=345713.639808
px=180011.413002, py=18634.966254, pz=995491.744217
px=359989.934079, py=975206.810347, pz=790880.894428
px=979470.099252, py=279478.638357, pz=894763.349732
px=439424.406768, py=904492.361500, pz=162965.792141
px=823437.341122, py=554989.853572, pz=925574.241728
px=501825.357603, py=704288.591039, pz=762660.217169
px=119295.614271, py=179906.097286, pz=765301.793107
px=228583.876312, py=500373.767377, pz=249388.603626
px=363873.567024, py=216459.957649, pz=821532.891027
px=439230.178211, py=713887.999424, pz=136618.402749
px=601654.247590, py=630957.318232, pz=230496.729321
px=68291.471938, py=269303.702577, pz=353362.799664
px=860695.473692, py=323653.989046, pz=419613.690416
px=84742.471628, py=985284.243847, pz=660534.556704
px=157148.400065, py=541948.766344, pz=99785.112331
px=389012.914322, py=649198.742589, pz=551638.557953
px=377422.645017, py=328885.003815, pz=757920.710920
px=591893.795872, py=594400.533308, pz=422926.395534
px=276340.198904, py=107443.945494, pz=389952.248307
px=334999.934288, py=116019.171996, pz=83379.402376
px=321526.720056, py=540524.636171, pz=983237.694215
px=511517.204125, py=228674.540652, pz=737971.175022
px=853070.954138, py=299829.082775, pz=625609.842851
px=306012.628884, py=779779.586232, pz=949071.402146
px=272212.964036, py=6268.624049, pz=115233.219536
px=149646.905299, py=896350.312242, pz=67024.318258
px=276721.235958, py=977722.893474, pz=575305.386403
px=51508.156499, py=532051.122271, pz=949542.436099
px=978828.990437, py=33136.701036, pz=955296.566866
px=10049.016805, py=404133.103016, pz=216471.849498
px=546320.794065, py=722425.999129, pz=920101.002592
px=35144.844996, py=137342.560721, pz=869589.184856
px=820626.367857, py=790149.276635, pz=990957.202852
px=732212.090633, py=94979.254958, pz=565930.335226
px=435477.947546, py=691116.842055, pz=923936.094501
px=249087.779848, py=344882.428146, pz=528242.704893
px=153245.690832, py=438725.826903, pz=727756.897299
px=701240.557245, py=536915.005246, pz=612283.252449
px=74428.933500, py=498655.757363, pz=115090.418151
px=935259.089580, py=26253.612933, pz=218502.463294
px=104993.914247, py=748432.545603, pz=599688.390450
px=107601.065721, py=983118.886352, pz=420775.118388
px=494141.539072, py=158125.338281, pz=709502.410493
px=233769.931926, py=182553.735643, pz=751431.274309
px=520552.468212, py=765406.068857, pz=825605.465981
px=179582.986707, py=351995.840558, pz=801270.213969
px=2437.472383, py=696392.287212, pz=946184.676889
px=92796.684886, py=186161.836171, pz=760801.497643
px=691932.244447, py=721033.711071, pz=354091.544038
px=637317.107231, py=273007.783264, pz=643091.763093
px=326374.927493, py=772632.567722, pz=870693.862314
px=491583.260810, py=128781.569471, pz=717281.710647
px=333744.667272, py=282788.792025, pz=775283.363746
px=520037.716310, py=991409.039911, pz=190236.894962
px=789320.353986, py=627824.886677, pz=178073.140921
px=674833.782216, py=965163.784375, pz=874701.591723
px=86194.631743, py=252696.881451, pz=162874.886547
px=502608.203281, py=49976.750871, pz=657129.164955
px=42092.075535, py=249871.631625, pz=328203.762531
px=541256.621107, py=274893.550693, pz=200916.154788
px=931013.554412, py=193657.656091, pz=818795.712118
px=728515.319353, py=107658.065151, pz=331483.905761
px=653151.028551, py=979384.510121, pz=539352.716846
px=214441.226053, py=120766.655692, pz=215894.329187
px=440331.754816, py=276046.351188, pz=160864.251977
px=719038.217314, py=684143.503251, pz=478291.095042
px=108879.352762, py=344327.518163, pz=189675.801653
px=230289.958244, py=977000.996756, pz=791060.036956
px=524354.026744, py=920354.421462, pz=809214.425047
px=846036.525787, py=640348.280484, pz=491759.262265
px=641070.582205, py=863751.155885, pz=543076.175957
px=281206.839826, py=214342.233646, pz=232966.703571
px=912818.294520, py=978145.211594, pz=465959.882837
px=268366.348297, py=187140.921363, pz=919561.185879
px=457398.695998, py=460008.124183, pz=49911.344274
px=687522.774605, py=867230.275155, pz=550315.743322
px=697404.741465, py=603162.503531, pz=217108.310890
px=99627.891819, py=743106.921863, pz=537765.391992
px=914702.464401, py=758375.790032, pz=224855.313346
px=726356.160549, py=274656.982516, pz=69290.790340
px=809658.914563, py=575695.062849, pz=528769.230377
px=95434.888690, py=78189.798007, pz=171328.802339
px=638182.038140, py=451213.822447, pz=126520.034748
px=125509.256927, py=858144.265540, pz=622769.177150
px=557057.992424, py=339514.254010, pz=915174.077509
px=533785.281996, py=804388.753181, pz=219469.460185
px=897044.792196, py=640796.058061, pz=192142.409030
px=839153.150235, py=866875.546046, pz=736586.358715
px=886842.636811, py=693313.495931, pz=450559.493306
px=888021.197788, py=585425.427352, pz=749392.682145
px=904477.763516, py=86747.648007, pz=135724.689809
px=246713.604751, py=749902.043639, pz=810720.509751
px=282186.424102, py=950834.041249, pz=762774.920444
px=714175.315432, py=863224.347619, pz=494730.882744
px=476092.769729, py=809493.592576, pz=427548.912113
px=190779.640673, py=261493.494653, pz=531016.335933
px=982137.925600, py=434904.050832, pz=563661.250953
px=540730.264050, py=433874.977873, pz=23287.966880
px=506563.461755, py=126615.045829, pz=843163.172212
px=555426.652236, py=662984.705465, pz=246295.351134
px=353325.532348, py=102011.173408, pz=693069.926420
px=66095.999888, py=218104.692011, pz=987890.671006
px=813568.851015, py=31810.142413, pz=117640.136449
px=912590.211441, py=385623.129948, pz=286976.027747
