px=690627.298384, py=422483.276441, pz=206265.257547
px=364986.873340, py=765370.968507, pz=317858.648362
px=564644.555377, py=743262.800287, pz=981750.443675
px=728539.471634, py=628866.300416, pz=796122.146358
px=252084.571007, py=119946.866726, pz=215528.540759
px=282563.716506, py=231428.120648, pz=484284.200184
px=309229.926260, py=922019.246169, pz=775592.077606
px=978305.140655, py=114988.045346, pz=752938.389115
px=786563.865487, py=434013.946577, pz=85314.789760
px=230303.383165, py=602978.541695, pz=623075.623852
px=485376.672509, py=554754.964422, pz=241804.229053
px=675645.173401, py=848227.441198, pz=135597.569827
px=788093.921756, py=902211.214009, pz=71565.972730
px=793247.856400, py=596144.651737, pz=353805.716988
px=687720.568691, py=682177.347982, pz=570938.877294
px=514462.370573, py=610040.888959, pz=538731.162743
px=257855.801470, py=402327.088696, pz=491526.403162
px=60753.082321, py=644169.854663, pz=348048.784338
px=470612.251708, py=436076.789202, pz=56797.400972
px=141282.609533, py=170703.540382, pz=646115.899674
px=379211.104801, py=349174.663662, pz=943155.207301
px=877696.199641, py=705702.552334, pz=94794.337887
px=396012.039462, py=176515.086692, pz=678213.435511
px=480886.353987, py=761235.747324, pz=954451.890457
px=161281.815087, py=734611.618444, pz=89143.376893
px=152512.697694, py=944379.425169, pz=500692.821176
px=796922.593590, py=289627.297506, pz=798663.472932
px=675026.068370, py=308186.708104, pz=87955.946469
px=614014.976059, py=619628.077852, pz=256631.584881
px=50619.097344, py=928703.924197, pz=865598.075129
px=766636.234160, py=53941.961066, pz=850736.426001
px=512666.951282, py=535124.756839, pz=55921.182285
px=206046.960628, py=171178.070776, pz=610713.030458
px=967441.057673, py=357050.180338, pz=282961.613519
px=592169.062248, py=713378.939929, pz=967164.696887
px=949471.263635, py=258590.876660, pz=63503.946129
px=149225.502796, py=3291.499986, pz=323544.904835
px=172038.190386, py=37631.699538, pz=526055.180378
px=102077.634702, py=573993.355888, pz=727942.207792
px=189203.779291, py=513974.899250, pz=301843.505341
px=697706.475306, py=408809.165020, pz=67894.079804
px=860182.865819, py=275285.980750, pz=401951.672829
px=582770.688174, py=332041.738695, pz=786002.128027
px=750460.980875, py=810789.183923, pz=486080.960270
px=980157.385473, py=951635.226932, pz=942662.743328
px=967176.524444, py=1779.599290, pz=70453.926512
px=6598.196118, py=183247.638213, pz=164461.171544
px=484209.034060, py=207220.219252, pz=412701.013294
px=248094.387363, py=135024.571669, pz=962709.386654
px=564319.911938, py=727143.966134, pz=425275.840244
px=5765.988182, py=332681.635278, pz=677560.458024
px=605916.936258, py=8421.422461, pz=479734.713247
px=807108.112787, py=105960.589210, pz=575274.750820
px=959121.757040, py=853414.709146, pz=807710.657780
px=308625.756788, py=446707.259211, pz=107211.755754
px=711340.587834, py=284782.475382, pz=835829.289370
px=85038.081128, py=144488.892253, pz=398024.358377
px=679584.936424, py=794078.455506, pz=696433.621730
px=912284.682118, py=144448.799503, pz=393382.576474
px=483209.813987, py=44872.860184, pz=574948.723433
px=288654.757109, py=602098.319088, pz=862524.416683
px=642977.669449, py=697163.503136, pz=463394.478322
px=645077.321575, py=885045.157675, pz=832741.266506
px=86666.697959, py=626138.562140, pz=6791.141694
px=812966.421488, py=82145.900434, pz=724087.624839
px=421994.009380, py=812508.929432, pz=987030.031217
px=363760.770104, py=492547.810110, pz=450693.059070
px=128028.459919, py=20748.719745, pz=731634.395903
px=33398.780088, py=681387.696328, pz=285847.212416
px=447483.592491, py=525500.710434, pz=412964.148315
px=565315.502489, py=169574.876613, pz=815229.360280
px=849932.658073, py=452319.892123, pz=697817.121695
px=336517.889975, py=412005.937653, pz=401412.447241
px=465386.836883, py=983916.453738, pz=255108.237668
px=143561.931822, py=652819.613454, pz=721685.798987
px=894694.187328, py=312331.063141, pz=413524.691003
px=951698.353890, py=136664.959587, pz=46716.239304
px=601597.998937, py=748255.386409, pz=11554.083601
px=501966.950223, py=2019.592666, pz=680822.079646
px=607664.084241, py=729471.402860, pz=637378.035220
px=509304.507626, py=925808.726625, pz=219562.128072
px=460971.662757, py=139357.601113, pz=803387.416290
px=85743.803093, py=729854.557929, pz=474453.390113
px=519884.505311, py=506629.802309, pz=207994.003825
px=12918.218240, py=229500.625953, pz=974430.452094
px=241598.571188, py=504898.178041, pz=586415.670366
px=365315.706100, py=195026.787752, pz=204510.882980
px=580389.452834, py=231390.952675, pz=294377.720853
px=533813.845159, py=822687.113241, pz=887814.152582
px=94230.091911, py=465644.983811, pz=396637.163579
px=312234.348969, py=561739.555387, pz=856944.124147
px=111739.025207, py=97374.356452, pz=675564.461928
px=346509.236314, py=649462.284131, pz=411545.168267
px=756428.465986, py=834633.137255, pz=15883.771224
px=934848.999009, py=180914.561610, pz=561756.287069
px=462130.279121, py=461837.325604, pz=603234.129308
px=14357.545465, py=210890.443859, pz=603619.004623
px=876255.115553, py=602065.805510, pz=115647.990925
px=620531.989994, py=653957.149003, pz=480399.453538
px=728506.643281, py=458046.413260, pz=344678.206032
px=354916.925005, py=649969.782036, pz=90453.963954
px=278702.804215, py=230349.234439, pz=395969.689912
px=142140.700851, py=644331.755959, pz=972300.276948
px=285159.974626, py=986395.329803, pz=353690.809341
px=50018.369260, py=35854.833197, pz=341940.587938
px=686988.065895, py=705440.696329, pz=245085.689461
px=53356.747846, py=619771.658491, pz=496631.721547
px=124767.175597, py=957570.348210, pz=840155.844154
px=821408.547051, py=82498.311868, pz=149254.434752
px=164179.137491, py=770186.704992, pz=583096.937933
px=850342.977960, py=190216.056241, pz=196933.266202
px=758390.152817, py=869461.237389, pz=708547.065120
px=531600.100913, py=672910.828153, pz=10356.877723
px=305657.598240, py=879985.391377, pz=653634.792478
px=537438.183885, py=914371.006034, pz=258166.887562
px=156946.518183, py=27928.229598, pz=589613.052178
px=786199.274202, py=298781.846385, pz=79396.364257
px=256283.209550, py=867321.743279, pz=624776.632993
px=256608.378868, py=585948.497698, pz=618015.140722
px=965311.534784, py=35023.206076, pz=842342.766573
px=429556.582090, py=530400.038179, pz=852360.469846
px=933382.164393, py=28500.293069, pz=529833.986756
px=443565.094591, py=517957.230842, pz=599136.235205
px=79572.595648, py=189725.936798, pz=863026.624722
px=844437.336353, py=14769.643945, pz=13879.576320
px=446096.529912, py=443948.245815, pz=162171.264768
px=580073.585728, py=43310.477171, pz=62141.811312
px=599243.918330, py=319148.817777, pz=395319.709677
px=572491.528178, py=683697.422202, pz=228769.645931
px=586841.150801, py=829727.087450, pz=364231.384767
px=851709.103898, py=695693.743516, pz=507370.150297
px=282638.161596, py=502331.142225, pz=624217.234668
px=977745.502284, py=622237.377178, pz=285889.147870
px=783173.058005, py=990690.735062, pz=240394.427411
px=569653.103125, py=654333.679170, pz=590388.435867
px=199744.011107, py=3571.706214, pz=816286.463062
px=831998.571486, py=178254.740074, pz=354443.450389
px=971600.535832, py=189506.714012, pz=589913.269024
px=391217.476551, py=11918.799126, pz=308001.004940
px=690920.183163, py=725808.147640, pz=168879.716672
px=239509.048951, py=618368.709824, pz=364717.767099
px=503345.768226, py=876012.797173, pz=341599.943821
px=775036.106664, py=507936.024062, pz=13183.571104
px=648504.403330, py=562323.170450, pz=874755.654562
px=757062.624290, py=716383.425826, pz=234309.287855
px=396428.613236, py=268844.125350, pz=100397.090117
px=808271.133761, py=26654.850916, pz=291388.314225
px=247161.938451, py=764555.974450, pz=181946.255673
px=250008.340695, py=968139.233904, pz=16686.648009
px=212777.954889, py=914216.159533, pz=894333.870987
px=934457.001715, py=343161.241561, pz=26427.037774
px=680774.331640, py=663613.874838, pz=145908.365791
px=847884.545738, py=261047.381307, pz=727490.951575
px=455549.180064, py=115793.130372, pz=662517.553971
px=57464.723341, py=719385.889597, pz=841877.391200
px=987171.885196, py=506535.047629, pz=900419.799449
px=405846.914516, py=359174.756885, pz=570633.501401
px=907884.891150, py=691114.845983, pz=26174.407246
px=438526.149130, py=731449.846418, pz=548356.784929
px=415531.513931, py=290964.775192, pz=226629.416888
px=217478.979546, py=606630.280955, pz=452446.349213
px=172171.487205, py=500206.123063, pz=238118.105224
px=859149.407315, py=588839.651917, pz=732021.928570
px=413534.679966, py=183006.423437, pz=715186.506487
px=357826.566990, py=143370.560973, pz=376785.383523
px=351036.222881, py=301301.647772, pz=374185.505295
px=3521.024210, py=960299.066695, pz=202328.880086
px=341721.310066, py=129925.281536, pz=345713.639807
px=180011.413001, py=18634.966272, pz=995491.744210
