px=783089.577710, py=798431.060040, pz=911639.850416
px=477392.358075, py=628867.349138, pz=364783.321948
px=141599.596585, py=606960.629675, pz=16302.233672
px=129787.458358, py=108807.791481, pz=998916.562967
px=637548.728534, py=524280.702051, pz=493579.679077
px=400223.734368, py=891522.382643, pz=283314.426885
px=525991.069385, py=86057.328653, pz=192211.017124
px=457699.983849, py=63097.620587, pz=238279.676784
px=375204.230470, py=760241.323164, pz=512527.474230
px=930801.918033, py=720945.973080, pz=284289.684276
px=440099.108376, py=880064.808908, pz=829195.161167
px=956460.839841, py=588633.883877, pz=657300.010003
px=684209.977720, py=910965.622162, pz=482488.352295
px=641072.871569, py=431950.814547, pz=619589.132434
px=187530.733126, py=276229.927235, pz=556440.631435
px=495441.721940, py=760468.729993, pz=984741.116181
px=294155.886740, py=232257.130229, pz=584484.048381
px=164102.993200, py=745061.253243, pz=74529.184646
px=797792.877949, py=732647.921552, pz=656558.645452
px=520203.095434, py=78231.127879, pz=69907.616722
px=51936.525351, py=157807.890166, pz=999981.323490
px=870533.697541, py=72328.639469, pz=4159.649489
px=913017.861622, py=819687.431971, pz=359091.493036
px=530805.633078, py=757286.720911, pz=304294.372363
px=35423.104781, py=747797.628224, pz=833232.195454
px=903357.289746, py=983583.885572, pz=666875.645529
px=649698.863554, py=248042.841565, pz=629472.309433
px=74161.134999, py=633065.926640, pz=223657.005375
px=719261.938330, py=113282.087871, pz=471478.419634
px=434509.541290, py=3233.426908, pz=344937.908755
px=481929.098847, py=304953.364563, pz=712077.383941
px=673927.864392, py=637634.430825, pz=347113.164682
px=740432.144970, py=202211.670849, pz=920903.691046
px=260491.899798, py=877372.821163, pz=686117.235721
px=666548.655413, py=288773.865206, pz=775757.623369
px=827382.480111, py=331478.512396, pz=188201.673464
px=121143.595994, py=685781.591821, pz=383830.598512
px=793651.332084, py=548039.027069, pz=297287.723265
px=162755.070201, py=273908.211660, pz=864572.407861
px=180417.268436, py=684172.215372, pz=727542.962103
px=178203.455163, py=221961.151838, pz=498519.659538
px=908477.477955, py=622089.207648, pz=836818.405840
px=608874.205790, py=258901.177530, pz=151229.356002
px=331385.113283, py=91148.169430, pz=427322.039939
px=487422.744638, py=157270.650314, pz=883026.007808
px=829929.699839, py=394385.809012, pz=244325.375494
px=897548.322695, py=136074.950863, pz=410785.476135
px=865525.853357, py=721001.497749, pz=49163.215855
px=865171.856946, py=93917.381871, pz=99559.243515
px=51509.456164, py=53422.913724, pz=457710.686385
px=578628.232108, py=529892.745772, pz=595041.638316
px=609723.594340, py=525740.259725, pz=618921.169650
px=923716.926051, py=169649.764986, pz=481727.281447
px=344244.733403, py=814899.060866, pz=659141.127610
px=308154.143017, py=221004.812654, pz=198019.655567
px=200349.959160, py=401182.025424, pz=315654.188941
px=555391.474934, py=14578.030264, pz=380212.295767
px=552312.731114, py=919582.882985, pz=685978.376100
px=532955.363557, py=843901.303476, pz=618439.995964
px=801885.877627, py=677802.965330, pz=152875.387587
px=700291.167134, py=567824.238651, pz=1124.037750
px=181161.675645, py=341351.976985, pz=667332.714169
px=157138.665555, py=503458.375086, pz=828947.163783
px=868917.905502, py=547390.019055, pz=738954.552150
px=494403.733686, py=552564.769671, pz=939120.340135
px=935842.918005, py=324538.998162, pz=874302.194318
px=262779.948993, py=604374.500658, pz=470561.694727
px=412479.345251, py=611974.833352, pz=596890.928043
px=700903.429637, py=518143.163902, pz=832600.705586
px=814342.987741, py=384652.425193, pz=637649.468356
px=17458.306353, py=717590.068970, pz=573715.124845
px=58723.239865, py=74258.022955, pz=640758.241593
px=737933.229265, py=462850.336839, pz=438560.105455
px=333565.761524, py=536739.825473, pz=219133.663073
px=183765.106285, py=458036.834494, pz=780214.685169
px=331842.802570, py=402375.483926, pz=560777.050055
px=653874.018146, py=916515.704431, pz=210687.112742
px=646514.295797, py=592683.323193, pz=676547.563374
px=18913.107984, py=343838.549655, pz=9074.968710
px=173064.695434, py=447977.880384, pz=487718.618260
px=882196.921667, py=366024.136948, pz=899420.925333
px=865672.908646, py=623186.328553, pz=718657.829569
px=626117.243710, py=176239.705124, pz=126665.059018
px=461840.770196, py=648539.324011, pz=915208.857719
px=436583.018406, py=293174.837990, pz=244064.425344
px=813898.518610, py=753372.358315, pz=356379.601709
px=699781.043712, py=327611.889231, pz=889331.869991
px=698704.899754, py=681916.430595, pz=904176.881126
px=591102.631772, py=53437.329260, pz=101450.956604
px=889546.843667, py=945491.989944, pz=56020.159043
px=584581.878953, py=476350.062575, pz=815541.332589
px=264166.336526, py=633581.088361, pz=538168.979072
px=400982.212248, py=307164.937043, pz=679895.569595
px=214522.947308, py=759197.929463, pz=258111.162097
px=321476.417719, py=667951.980209, pz=526823.455667
px=889805.751727, py=611407.574110, pz=531028.871713
px=43914.788727, py=23861.717848, pz=5077.401842
px=467466.101726, py=78259.639742, pz=190978.898828
px=711350.527123, py=611237.274250, pz=92855.469108
px=777498.638255, py=6981.507643, pz=578609.323217
px=946424.189318, py=101481.167010, pz=274891.359642
px=173296.477030, py=937707.386811, pz=760856.461907
px=456508.554739, py=434394.354095, pz=654019.873645
px=136957.017218, py=659871.505383, pz=114456.151850
px=312338.084492, py=943209.885176, pz=768198.031633
px=452644.906427, py=160157.327134, pz=308244.671409
px=84184.910493, py=780245.174177, pz=785926.655183
px=527067.342733, py=177130.537079, pz=927857.078449
px=539408.489626, py=406613.517856, pz=822415.963748
px=381883.156573, py=97491.083456, pz=807953.784051
px=714425.258760, py=635197.582673, pz=516133.879079
px=755935.801851, py=599698.723329, pz=139001.082343
px=184021.086887, py=666702.759682, pz=312984.029490
px=199724.525458, py=287731.852775, pz=657636.509891
px=142118.020053, py=294600.595200, pz=561000.139564
px=832543.508234, py=812989.285175, pz=773293.918242
px=284284.474325, py=76750.682903, pz=879999.066381
px=647517.988347, py=100685.319497, pz=325705.815676
px=398770.127466, py=366793.262315, pz=394232.217006
px=881222.705012, py=674841.567511, pz=460645.391002
px=301165.727784, py=126078.567624, pz=749433.820388
px=293170.949489, py=184574.318731, pz=2829.617248
px=175413.001852, py=44726.700301, pz=959708.965901
px=536111.182679, py=667903.995528, pz=465831.384837
px=837976.453703, py=154708.042627, pz=673641.620416
px=717081.442667, py=460061.465224, pz=541132.328475
px=236356.512071, py=653080.238026, pz=219152.256151
px=94321.856206, py=809346.842663, pz=879002.501170
px=438987.766504, py=853775.284759, pz=683089.339810
px=600401.653478, py=967682.390174, pz=109234.145027
px=455688.655176, py=532339.322399, pz=744998.347153
px=897873.647643, py=899510.045881, pz=39714.935898
px=73636.884999, py=461484.900038, pz=408975.975387
px=803221.427262, py=672553.290086, pz=71320.600939
px=916843.990051, py=103240.691764, pz=900889.870784
px=820914.461374, py=968383.148773, pz=508792.521703
px=748669.981971, py=36497.742314, pz=721813.928172
px=957699.363785, py=624050.413900, pz=637802.836794
px=99282.873170, py=264619.304685, pz=801017.244731
px=698091.606379, py=889500.036004, pz=11681.412681
px=675687.921921, py=870041.918043, pz=275883.171099
px=452676.397959, py=860777.744776, pz=545781.426545
px=174133.165131, py=187693.796312, pz=247166.169262
px=517386.720033, py=378792.480005, pz=501831.216155
px=520114.124067, py=895346.109906, pz=241412.282856
px=325171.936077, py=334010.897412, pz=637896.971903
px=212264.319330, py=385274.831799, pz=777817.809229
px=523740.357026, py=246989.650635, pz=224643.074296
px=739459.123011, py=476847.881495, pz=92495.096995
px=214738.465738, py=278000.681269, pz=448418.872062
px=971811.365931, py=653754.956747, pz=644505.097796
px=636650.182903, py=740168.192379, pz=864183.207431
px=576473.687566, py=43381.118673, pz=787188.546398
px=705289.937035, py=232564.642233, pz=597107.377266
px=126806.481529, py=167239.763204, pz=775890.424520
px=31606.735451, py=112153.713054, pz=727269.518869
px=721533.659686, py=726836.816754, pz=305981.967519
px=322689.379921, py=381600.877155, pz=867312.151344
px=557283.580420, py=708605.524036, pz=906953.198767
px=267080.417444, py=35039.874075, pz=647541.743956
px=314039.831532, py=573117.111243, pz=80385.421459
px=246470.798968, py=194946.065416, pz=127738.786071
px=769068.409621, py=989529.283609, pz=256486.338949
px=599283.567765, py=448315.023241, pz=890409.342010
px=730668.596513, py=827607.478619, pz=817736.773604
px=340319.753093, py=507612.461298, pz=40084.400307
px=112202.768758, py=324095.437262, pz=106273.233696
px=355364.536689, py=558640.504211, pz=800121.682034
px=374968.218283, py=558193.217866, pz=840794.032366
px=728287.168890, py=46510.218886, pz=969197.294823
px=360908.830864, py=739787.506439, pz=538048.230016
px=764916.896892, py=537022.343964, pz=393091.130815
px=691737.793404, py=768799.506124, pz=526821.921082
px=579760.958547, py=408412.653796, pz=14150.899309
px=387459.678488, py=568375.366323, pz=55411.841008
px=329337.846900, py=429609.385295, pz=20710.543198
px=717506.523082, py=399922.154443, pz=650213.453649
px=497844.465954, py=438917.020110, pz=261879.515699
px=860579.017864, py=804633.233087, pz=508364.568555
px=974489.208796, py=195533.976424, pz=340020.513913
px=613039.902183, py=442784.377522, pz=568751.254193
px=432447.395102, py=321044.165102, pz=973138.169449
px=527009.794616, py=501472.026466, pz=109084.611836
px=479451.021487, py=390285.627940, pz=558517.228394
px=793869.529788, py=54210.785990, pz=762673.074147
px=142888.888652, py=329302.545479, pz=999234.143346
px=493826.627724, py=339068.152567, pz=702666.432728
px=143224.175161, py=119582.764846, pz=726135.234917
px=265814.552705, py=725763.902849, pz=590646.166830
px=276116.087872, py=792988.413120, pz=446641.221279
px=15699.915043, py=609172.530161, pz=819365.120254
px=500016.422015, py=467270.567638, pz=251969.803383
px=940827.534931, py=825887.953323, pz=258251.600747
px=844997.283638, py=625588.899061, pz=376625.779398
px=892307.406993, py=728893.060834, pz=956602.689720
px=165015.590546, py=11743.540300, pz=580044.479148
px=641181.218961, py=46844.413170, pz=656093.869582
px=460643.446894, py=839340.078127, pz=574207.866274
px=212641.867688, py=37407.374734, pz=269233.846793
px=40754.124476, py=511380.204395, pz=744048.913086
px=579489.138678, py=91315.874693, pz=381760.403672
px=683827.780993, py=196426.857365, pz=149878.977848
px=268078.037597, py=90364.945630, pz=214793.117135
px=657518.046777, py=647441.336044, pz=427699.952074
px=954224.831876, py=333826.609944, pz=437934.623530
px=256583.471987, py=417486.101667, pz=668461.830220
px=579960.875151, py=44363.785250, pz=919474.237365
px=470320.996369, py=287176.011778, pz=832218.192152
px=118124.007903, py=847946.881684, pz=984916.055705
px=670016.281656, py=827046.245200, pz=101447.104500
px=975368.558329, py=153924.086143, pz=595956.454831
px=742617.526780, py=846122.053455, pz=97542.800759
px=355502.941062, py=981968.353218, pz=44988.780961
px=30632.441142, py=529748.511092, pz=222726.861979
px=611087.797367, py=839858.121033, pz=602025.028463
px=462057.943686, py=132557.087898, pz=930646.659022
px=909674.310220, py=886019.636776, pz=259235.526637
px=217298.443855, py=271466.520735, pz=467525.890187
px=551298.676958, py=716238.598991, pz=927616.573161
px=95194.948661, py=815190.135292, pz=886728.828937
px=613802.321529, py=990155.711376, pz=796782.245944
px=116995.425904, py=291182.318293, pz=573072.816487
px=403537.986006, py=112984.260810, pz=400530.865100
px=100277.476669, py=416699.737075, pz=906118.166172
px=627211.062753, py=292550.217894, pz=461699.897604
px=576547.644468, py=773007.612772, pz=100707.207280
