px=690627.298384, py=422483.276441, pz=206265.257546
px=364986.873342, py=765370.968506, pz=317858.648361
px=564644.555375, py=743262.800287, pz=981750.443679
px=728539.471635, py=628866.300416, pz=796122.146359
px=252084.571008, py=119946.866724, pz=215528.540760
px=282563.716507, py=231428.120649, pz=484284.200185
px=309229.926261, py=922019.246168, pz=775592.077608
px=978305.140655, py=114988.045354, pz=752938.389116
px=786563.865483, py=434013.946577, pz=85314.789760
px=230303.383163, py=602978.541695, pz=623075.623852
px=485376.672508, py=554754.964424, pz=241804.229054
px=675645.173400, py=848227.441196, pz=135597.569828
px=788093.921756, py=902211.214008, pz=71565.972730
px=793247.856400, py=596144.651736, pz=353805.716986
px=687720.568689, py=682177.347981, pz=570938.877293
px=514462.370574, py=610040.888957, pz=538731.162744
px=257855.801470, py=402327.088696, pz=491526.403163
px=60753.082319, py=644169.854663, pz=348048.784335
px=470612.251710, py=436076.789202, pz=56797.400969
px=141282.609532, py=170703.540381, pz=646115.899674
px=379211.104799, py=349174.663661, pz=943155.207304
px=877696.199642, py=705702.552334, pz=94794.337885
px=396012.039462, py=176515.086692, pz=678213.435510
px=480886.353988, py=761235.747324, pz=954451.890462
px=161281.815089, py=734611.618450, pz=89143.376893
px=152512.697694, py=944379.425172, pz=500692.821176
px=796922.593590, py=289627.297504, pz=798663.472932
px=675026.068372, py=308186.708103, pz=87955.946467
px=614014.976060, py=619628.077853, pz=256631.584881
px=50619.097340, py=928703.924198, pz=865598.075127
px=766636.234160, py=53941.961063, pz=850736.426002
px=512666.951282, py=535124.756839, pz=55921.182283
px=206046.960629, py=171178.070774, pz=610713.030458
px=967441.057678, py=357050.180338, pz=282961.613519
px=592169.062247, py=713378.939929, pz=967164.696892
px=949471.263637, py=258590.876659, pz=63503.946127
px=149225.502795, py=3291.499981, pz=323544.904835
px=172038.190386, py=37631.699535, pz=526055.180378
px=102077.634701, py=573993.355889, pz=727942.207791
px=189203.779290, py=513974.899251, pz=301843.505341
px=697706.475307, py=408809.165020, pz=67894.079802
px=860182.865821, py=275285.980748, pz=401951.672827
px=582770.688177, py=332041.738694, pz=786002.128026
px=750460.980865, py=810789.183926, pz=486080.960271
px=980157.385477, py=951635.226935, pz=942662.743328
px=967176.524446, py=1779.599286, pz=70453.926512
px=6598.196112, py=183247.638211, pz=164461.171548
px=484209.034060, py=207220.219252, pz=412701.013294
px=248094.387362, py=135024.571668, pz=962709.386660
px=564319.911939, py=727143.966133, pz=425275.840245
px=5765.988178, py=332681.635278, pz=677560.458025
px=605916.936258, py=8421.422455, pz=479734.713247
px=807108.112788, py=105960.589209, pz=575274.750820
px=959121.757044, py=853414.709145, pz=807710.657781
px=308625.756789, py=446707.259208, pz=107211.755754
px=711340.587834, py=284782.475381, pz=835829.289370
px=85038.081128, py=144488.892251, pz=398024.358379
px=679584.936423, py=794078.455506, pz=696433.621730
px=912284.682121, py=144448.799503, pz=393382.576472
px=483209.813987, py=44872.860180, pz=574948.723433
px=288654.757107, py=602098.319089, pz=862524.416684
px=642977.669449, py=697163.503136, pz=463394.478322
px=645077.321575, py=885045.157677, pz=832741.266506
px=86666.697958, py=626138.562140, pz=6791.141690
px=812966.421488, py=82145.900432, pz=724087.624839
px=421994.009381, py=812508.929433, pz=987030.031222
px=363760.770103, py=492547.810107, pz=450693.059071
px=128028.459920, py=20748.719741, pz=731634.395902
px=33398.780084, py=681387.696327, pz=285847.212417
px=447483.592493, py=525500.710434, pz=412964.148315
px=565315.502489, py=169574.876612, pz=815229.360281
px=849932.658072, py=452319.892122, pz=697817.121692
px=336517.889972, py=412005.937653, pz=401412.447239
px=465386.836884, py=983916.453742, pz=255108.237667
px=143561.931820, py=652819.613453, pz=721685.798987
px=894694.187328, py=312331.063142, pz=413524.691002
px=951698.353893, py=136664.959587, pz=46716.239303
px=601597.998938, py=748255.386412, pz=11554.083598
px=501966.950224, py=2019.592660, pz=680822.079647
px=607664.084239, py=729471.402867, pz=637378.035225
px=509304.507625, py=925808.726625, pz=219562.128071
px=460971.662758, py=139357.601112, pz=803387.416290
px=85743.803089, py=729854.557925, pz=474453.390113
px=519884.505312, py=506629.802308, pz=207994.003823
px=12918.218236, py=229500.625953, pz=974430.452097
px=241598.571188, py=504898.178043, pz=586415.670366
px=365315.706103, py=195026.787752, pz=204510.882982
px=580389.452834, py=231390.952676, pz=294377.720854
px=533813.845155, py=822687.113242, pz=887814.152581
px=94230.091909, py=465644.983811, pz=396637.163578
px=312234.348969, py=561739.555388, pz=856944.124146
px=111739.025207, py=97374.356453, pz=675564.461925
px=346509.236315, py=649462.284131, pz=411545.168266
px=756428.465987, py=834633.137254, pz=15883.771218
px=934848.999012, py=180914.561608, pz=561756.287069
px=462130.279122, py=461837.325603, pz=603234.129308
px=14357.545459, py=210890.443859, pz=603619.004624
px=876255.115554, py=602065.805508, pz=115647.990923
px=620531.989994, py=653957.149001, pz=480399.453538
px=728506.643282, py=458046.413257, pz=344678.206034
px=354916.925006, py=649969.782037, pz=90453.963952
px=278702.804215, py=230349.234440, pz=395969.689916
px=142140.700849, py=644331.755960, pz=972300.276953
px=285159.974625, py=986395.329810, pz=353690.809344
px=50018.369257, py=35854.833193, pz=341940.587938
px=686988.065893, py=705440.696330, pz=245085.689463
px=53356.747843, py=619771.658492, pz=496631.721546
px=124767.175598, py=957570.348213, pz=840155.844155
px=821408.547052, py=82498.311866, pz=149254.434749
px=164179.137492, py=770186.704993, pz=583096.937933
px=850342.977961, py=190216.056242, pz=196933.266201
px=758390.152817, py=869461.237389, pz=708547.065120
px=531600.100912, py=672910.828153, pz=10356.877718
px=305657.598242, py=879985.391379, pz=653634.792480
px=537438.183885, py=914371.006037, pz=258166.887560
px=156946.518185, py=27928.229594, pz=589613.052177
px=786199.274202, py=298781.846382, pz=79396.364254
px=256283.209548, py=867321.743279, pz=624776.632995
px=256608.378869, py=585948.497697, pz=618015.140721
px=965311.534788, py=35023.206074, pz=842342.766574
px=429556.582090, py=530400.038177, pz=852360.469850
px=933382.164394, py=28500.293062, pz=529833.986756
px=443565.094591, py=517957.230843, pz=599136.235205
px=79572.595643, py=189725.936796, pz=863026.624721
px=844437.336352, py=14769.643942, pz=13879.576316
px=446096.529912, py=443948.245814, pz=162171.264766
px=580073.585730, py=43310.477168, pz=62141.811312
px=599243.918328, py=319148.817776, pz=395319.709678
px=572491.528177, py=683697.422202, pz=228769.645934
px=586841.150803, py=829727.087449, pz=364231.384767
px=851709.103899, py=695693.743512, pz=507370.150298
px=282638.161595, py=502331.142227, pz=624217.234666
px=977745.502288, py=622237.377178, pz=285889.147870
px=783173.058003, py=990690.735068, pz=240394.427411
px=569653.103126, py=654333.679170, pz=590388.435868
px=199744.011106, py=3571.706209, pz=816286.463062
px=831998.571487, py=178254.740073, pz=354443.450387
px=971600.535756, py=189506.714036, pz=589913.268970
px=391217.476552, py=11918.799121, pz=308001.004940
px=690920.183162, py=725808.147648, pz=168879.716675
px=239509.048951, py=618368.709823, pz=364717.767099
px=503345.768225, py=876012.797176, pz=341599.943821
px=775036.106664, py=507936.024062, pz=13183.571097
px=648504.403329, py=562323.170450, pz=874755.654565
px=757062.624289, py=716383.425827, pz=234309.287853
px=396428.613236, py=268844.125351, pz=100397.090115
px=808271.133762, py=26654.850913, pz=291388.314224
px=247161.938451, py=764555.974451, pz=181946.255673
px=250008.340694, py=968139.233907, pz=16686.648005
px=212777.954887, py=914216.159535, pz=894333.870988
px=934457.001716, py=343161.241562, pz=26427.037771
px=680774.331641, py=663613.874838, pz=145908.365788
px=847884.545749, py=261047.381303, pz=727490.951576
px=455549.180064, py=115793.130370, pz=662517.553972
px=57464.723337, py=719385.889597, pz=841877.391200
px=987171.885202, py=506535.047629, pz=900419.799451
px=405846.914517, py=359174.756883, pz=570633.501401
px=907884.891153, py=691114.845984, pz=26174.407238
px=438526.149128, py=731449.846417, pz=548356.784926
px=415531.513931, py=290964.775191, pz=226629.416889
px=217478.979545, py=606630.280955, pz=452446.349210
px=172171.487207, py=500206.123066, pz=238118.105220
px=859149.407317, py=588839.651918, pz=732021.928568
px=413534.679965, py=183006.423434, pz=715186.506485
px=357826.566993, py=143370.560970, pz=376785.383525
px=351036.222882, py=301301.647771, pz=374185.505294
px=3521.024206, py=960299.066697, pz=202328.880086
px=341721.310065, py=129925.281529, pz=345713.639807
px=180011.413002, py=18634.966253, pz=995491.744219
px=359989.934077, py=975206.810352, pz=790880.894428
px=979470.099255, py=279478.638358, pz=894763.349735
px=439424.406768, py=904492.361503, pz=162965.792141
px=823437.341122, py=554989.853573, pz=925574.241731
px=501825.357605, py=704288.591038, pz=762660.217171
px=119295.614266, py=179906.097288, pz=765301.793112
px=228583.876310, py=500373.767380, pz=249388.603630
px=363873.567021, py=216459.957647, pz=821532.891028
px=439230.178212, py=713887.999425, pz=136618.402750
px=601654.247590, py=630957.318236, pz=230496.729321
px=68291.471935, py=269303.702580, pz=353362.799665
px=860695.473693, py=323653.989048, pz=419613.690415
px=84742.471626, py=985284.243850, pz=660534.556705
px=157148.400065, py=541948.766346, pz=99785.112329
px=389012.914323, py=649198.742582, pz=551638.557953
px=377422.645018, py=328885.003816, pz=757920.710922
px=591893.795873, py=594400.533307, pz=422926.395536
px=276340.198906, py=107443.945490, pz=389952.248309
px=334999.934288, py=116019.171994, pz=83379.402374
px=321526.720056, py=540524.636171, pz=983237.694218
px=511517.204128, py=228674.540651, pz=737971.175022
px=853070.954138, py=299829.082773, pz=625609.842852
px=306012.628884, py=779779.586234, pz=949071.402149
px=272212.964037, py=6268.624046, pz=115233.219534
px=149646.905301, py=896350.312245, pz=67024.318256
px=276721.235960, py=977722.893478, pz=575305.386402
px=51508.156496, py=532051.122273, pz=949542.436101
px=978828.990438, py=33136.701035, pz=955296.566867
px=10049.016804, py=404133.103016, pz=216471.849496
px=546320.794064, py=722425.999129, pz=920101.002594
px=35144.844991, py=137342.560723, pz=869589.184855
px=820626.367857, py=790149.276635, pz=990957.202855
px=732212.090633, py=94979.254956, pz=565930.335227
px=435477.947546, py=691116.842055, pz=923936.094505
px=249087.779847, py=344882.428145, pz=528242.704895
px=153245.690833, py=438725.826903, pz=727756.897298
px=701240.557245, py=536915.005247, pz=612283.252447
px=74428.933497, py=498655.757363, pz=115090.418148
px=935259.089581, py=26253.612931, pz=218502.463293
px=104993.914244, py=748432.545603, pz=599688.390449
px=107601.065720, py=983118.886353, pz=420775.118387
px=494141.539072, py=158125.338281, pz=709502.410494
px=233769.931924, py=182553.735643, pz=751431.274311
px=520552.468214, py=765406.068859, pz=825605.465981
px=179582.986705, py=351995.840558, pz=801270.213971
px=2437.472381, py=696392.287212, pz=946184.676890
px=92796.684885, py=186161.836171, pz=760801.497646
px=691932.244446, py=721033.711070, pz=354091.544036
