Binary,N,T,P_mpi,Wall_s,Speedup_vs_P1,Efficiency_pct
Baseline,10000,300,1,6.4305,1.000,100.0
Baseline,10000,300,2,5.6021,1.148,57.4
Baseline,10000,300,4,9.0122,0.714,17.8
Baseline,10000,300,8,9.8184,0.655,8.2
ORB,10000,300,1,9.6849,1.000,100.0
ORB,10000,300,2,7.9373,1.220,61.0
ORB,10000,300,4,10.8455,0.893,22.3
ORB,10000,300,8,13.9505,0.694,8.7
Adaptive-θ,10000,300,1,8.7345,1.000,100.0
Adaptive-θ,10000,300,2,8.0465,1.085,54.3
Adaptive-θ,10000,300,4,12.5831,0.694,17.4
Adaptive-θ,10000,300,8,15.3797,0.568,7.1
Parallel-Tree,10000,300,1,7.0365,1.000,100.0
Parallel-Tree,10000,300,2,6.3943,1.100,55.0
Parallel-Tree,10000,300,4,8.0545,0.874,21.8
Parallel-Tree,10000,300,8,10.3128,0.682,8.5
